iso_code,year,location,total_cases_year,total_deaths_year,max_stringency_index,population,life_expectancy,max_total_vaccinations,max_people_vaccinated,max_people_fully_vaccinated,total_daily_vaccinations,num_vaccine_types,death_rate_per_100k,vaccination_rate
SWE,2024,Sweden,8564.0,713.0,,10549349,82.6649092,,,,,,6.758710892966002,
SWZ,2020,Eswatini,8365.0,163.0,89.81,1201680,54.59266973,,,,,,13.564343252779441,
SWZ,2021,Eswatini,56016.0,1109.0,75.0,1201680,54.59266973,399616.0,334088.0,301243.0,409862.0,3.0,92.2874642167632,27.801744224752014
SWZ,2022,Eswatini,9640.0,150.0,58.8,1201680,54.59266973,509424.0,387509.0,318360.0,108220.0,3.0,12.482524465747954,32.247270487983485
SWZ,2023,Eswatini,1170.0,5.0,,1201680,54.59266973,,,,,,0.4160841488582651,
SWZ,2024,Eswatini,165.0,0.0,,1201680,54.59266973,,,,,,0.0,
SYC,2020,Seychelles,211.0,0.0,93.52,107135,74.01196664,,,,,,0.0,
SYC,2021,Seychelles,24170.0,126.0,84.26,107135,74.01196664,183472.0,82348.0,78263.0,185309.0,3.0,117.60862463247304,76.86377000980072
SYC,2022,Seychelles,25974.0,46.0,75.0,107135,74.01196664,199466.0,84327.0,80089.0,15464.0,3.0,42.936482008680635,78.71097213795679
SYC,2023,Seychelles,865.0,0.0,,107135,74.01196664,,,,,,0.0,
SYC,2024,Seychelles,666.0,0.0,,107135,74.01196664,,,,,,0.0,
